category,number,prompt,correct
Avaya 7304,2,A user is attempting to re-record a greeting using My CallPilot. Somehow the new greeting has become appended to the end of the first greeting recorded.What has happened? A. The user failed to save the greeting. B. The user failed to move the slider all the way to the left. C. The user pressed the # button at the end of the greeting. D. The user hung up the handset before pressing the stop button. ,B
Avaya 7304,3,Avaya CallPilot has a function called Auto Delete which the administrator uses to rapidly delete large numbers of users.With which file can this function be performed? A. A TIF-f file B. An Auto Delete file C. A tab-delimited text file D. A comma-delimited text file ,D
Avaya 7304,4,A system administrator is setting up system-Wide Message Archiving.Which statement about configuring Message Archiving is true? A. The administrator is responsible for storage space availability. B. When Message Archiving is enabled users can still use their defined Message Forwarding Rule. C. When Message Archiving is enabled the user's Message Forwarding Rules are deleted. D. Message Forwarding takes priority over Message Archiving. ,A
Avaya 7391x,1,Which three items are needed to properly configure a hunt group in an Expert Agent Selection (EAS) enabled call center? (Choose three.) A. the Class of Restriction (COR) B. the group extension C. the trunk group number D. the call distribution method E. the Vector Directory Number (VDN) ,AB
Avaya 7391x,2,When creating a vector directory number or VDN which four options must be configured to ensure that the call center works correctly? (Choose four.) A. Hunt Group B. Vector C. Extension D. Skill Level E. Agent Login F. Measured Format ,ABD
Avaya 7391x,3,To ensure that announcements always start at the beginning when played as part of a vector which action must be taken? A. Use Analog announcements only B. Set the queue field to Yes C. Use external announcements D. Create forced announcements ,B
Avaya 7391x,4,A customer wants the ability to track the call types for Automatic Call Distribution (ACD) calls answered by agents. These call types will be defined by the customer.Which call center feature can the customer use to track their defined call types? A. Redirection on No Answer (RONA. B. Call Work Codes (CWC. C. Least Occupied Agent (LOA. D. Feature Access Codes (FAC. E. Multiple Call Handling (MCH) ,B
Avaya 7392x,1,Which type of virtual routing allows calls among call centers to achieve improved Automatic Call Distribution (ACD) load-balance by comparing sites? A. Adjunct Routing B. Network Call Redirection C. Network Call Transfer D. Look-Ahead Interflow ,D
Avaya 7392x,2,For a Split Day report how many days of historical data are shown in the Basic Call management System (BCMS)? A. 5 B. 1 C. 2 D. 3 E. 7 ,E
Avaya 7392x,3,A customer has the Elite Call Center package and wants Basic Call Management System (BCMS) for reports.Which statement is true about this scenario? A. BCMS has all the functions Call Management System (CMS) supports but with less capacity. B. BCMS generates Split Reports and not Skills Reports. C. BCMS does not support all Call Center Elite features. D. BCMS is only offered for customers with a Basic Call Center package. ,C
Avaya 7392x,4,What provides built-in real-time and historical reporting capabilities for the call center including reports for Splits/Skills Agents Vector Directory Numbers (VDNs) and Trunk Groups? A. Automatic Number Identification (ANI) B. Basic Call Management System (BCMS) C. VuStats D. Service Level Maximizer (SLM) ,B
Avaya 7491x,1,Which of the following is important when considering regular call center operations? A. A backup strategy for the call center databases B. An analysis of the software you choose to create the call center databases C. A decision for how much room to create for the call center databases D. A restore strategy for the information in the call center databases ,A
Avaya 7491x,2,Refer to the exhibit.A call center administrator has devised a way to provide special treatment for high profile customers by filtering these agents Automatic Number Identification(ANI) using a vector routing table and interflowing these calls to be queued at a higher priority. Unfortunately after the new VDN/vector steps were implemented those customers are queuing to the incorrect group of agents.What would be the reason for this? A. VDN Override on VDN 7202 is set to no B. VDN Override on VDN 7201 is set to yes C. The caller has blocked his calling party number a match cannot be found and call processing for this call will cease D. No agents are staffed in skill 1 ,A
Avaya 7491x,3,You need to troubleshoot your Best Service Routing (BSR) polling vectors to verify that they are operating as intended.Which command do you use to do this? A. monitor bcms hunt group B. list trace trunk C. monitor bcms trunk D. list trace vdn ,D
Avaya 7491x,4,To improve call handling and agent productivity you set up a vector using Look Ahead Interflow to check if the remote site can accept a call and has an agent available. You only want to interflow calls that are at the top two positions queue.Which command would be entered in the vector to accomplish this? A. route-to number 9581234 with cov y if interflow-qpos=2 B. route-to number 9581234 with cov n if interflow-qpos&lt;=2 C. route-to number 9581234 with cov n if interflow-qpos&lt;2 D. route-to number 9581234 with cov y if interflow-qpos>=2 ,D
Avaya 7492x,1,The call center has recently converted from 4 to 5 digit extensions. Since the conversion callers to the Spanish Customer Service skill report that they can no longer reach a specific agent in the call center even if they know the extension number.Which two commands would provide information to isolate the problem? (Choose two.) [] A. Display events extension B. Display events vector C. List trace vector D. List trace extension ,B
Avaya 7492x,2,Which three statements are true about virtual routing? (Choose three.) [] A. CTI is a required component for multi-site configuration. B. Virtual routing allows the call centers to be transparent and act as a virtual call center that is transparent to the user. C. Virtual routing involves only contacts that are non-voice related such as email and chat. D. Virtual routing determines where to route the call according to the criteria: Look-ahead interflow or Advanced look-ahead interflow. E. Virtual can be implemented in single-site or multi-site configuration. ,BC
Avaya 7492x,3,Best Services Routing (BSR) allows adjusting the idle time of agents when determining agent selection. You are considering the step adjustment set to 20 for a given location.Which statement about agent adjustments for the considered location step is true? [] A. The agent's idle time is always adjusted up by 20 seconds. B. The agent's idle time is always adjusted down by 20 seconds. C. The agent's idle time is decreased by 20 seconds unless the idle time is greater than 100 seconds at which point it is decreased by 20%. D. The agent's idle time is adjusted up by 20% unless the idle time is greater than 100 seconds at which point is adjusted up by 20 seconds. ,B
Avaya 7492x,4,In a multi-site Best Services Routing (BSR) configuration what is the purpose of the Status Poll vector? [] A. The vector is activated when the given remote server is the best available. B. The vector contacts the specified remote servers and collects information from that remote server. C. The vector compares skills at its location and replies to the origin server with information on the best of these skills and estimated wait times (EWT). D. The vector queues the call to the resource that is likely to provide the best service. ,B
Avaya 7495x,1,Which snap-in provides a single interface through which client components can manage and retrieve customer Information from Context Store MultimediaDatabase and CRM? [] A. OceanaCoreDataService Snap-in B. ContactCenterService Snap-in C. CustomerManagement Snap-in D. CustomerJourneyService Snap-in ,B
Avaya 7495x,2,AVA is required for providing which two integrations for Avaya Oceana 3.5 solution? (Choose two.) A. Avaya Chatbot B. Avaya Mobile Video C. Webchat D. SMS E. Social Media ,A
Avaya 7495x,3,Which snap-in is required for implementing POM in an Avaya Oceana solution? A. ORCRestService B. AgentControllerService C. AutomationController D. OBCService ,D
Avaya 7495x,4,For the implementation of an Avaya mobile Video solution which two additional components are required? (Choose two.) [] A. Avaya Aura Web Gateway B. Avaya Mobile Video Gateway C. Avaya Aura Media Server D. Equinox Management Server E. Avaya Aura Session Manager ,C
Avaya 7497x,1,When describing the Avaya Oceana Monitor which cluster will have a monitoring snap-in installed that will create a web socket subscription service to feed statistics? A. Each cluster B. Common Component cluster C. UAC cluster D. OCP cluster ,C
Avaya 7497x,2,Which statement correctly describes the Avaya Oceana Monitor? A. It provides a single location to view the status of Cluster1 components. B. It provides a single location to view the status of each supported Oceana component. C. It provides a single location to view the status of the UAC Oceana component. D. It provides a single location to view the status of the UCM Oceana component. ,D
Avaya 7497x,3,"A customer is unable to login to Agent Workspaces and the administrator finds the following error messages in the log files.2018-04-19 06:04:45 386 [WebContainer : 4] AuthorizationService ERROR """" AuthorizationService-3.4.0.0.340003 """" Caught exception while authenticating with data source: HR-LAB javax.naming.CommunicationException: 135.35.67.19:636 [Root exception is java.net.ConnectException: Connection timed out]at com.avaya.zephyr.services.production.AuthorizationService.ldap.LdapDAOClientImpl.handleAuthenticationSystemException(LdapDAOClientImpl.java:116)What is causing these error messages? A. An LDAP connection issue was caused due to an incorrect LDAP parameter. B. The session timed out due to a browser issue. C. The Multimedia Cache database is unable to connect. D. SMGR is not authorizing Agent to login. ",D
Avaya 7591x,1,As a Network Administrator you need to generate reports highlighting data from a number of Access Points numbers of User logins number of failed logins and user bandwidth.Which Avaya application is used to complete this task? A. Guest Manager B. Ignition Server C. Log Manager D. Ignition Analytics ,D
Avaya 7591x,2,In Identity Engines where are PEAP/EAP-MSCHAPv2 Authentication mechanisms configured? A. In the Authenticator B. In the Dashboard Access policy C. In the Posture profiles D. In the Authentication Policy ,D
Avaya 7591x,3,Which statement describes an Ignition Server? A. It is used for different types and kinds of guests account provisioning and management. B. It is the virtual OVA Appliances based software Authenticator in form of a Web-Portal. C. It is the virtual OVA Appliance and RADIUS based Policy Engine with Identity Routing to Directory Services. D. It is the Configuration Software Tool for ID Engines Ignition Server. ,C
Avaya 7591x,4,Which Identity Engines components allows non-IT engineers to create temporary access accounts for guests? A. Ignition Guest Access portal B. Ignition Guest Manager C. Ignition Access portal D. Ignition Access Manager ,B
Avaya 7593x,1,Which two statements regarding adding a new Pod dashboard to Visualization Performance and Fault Management (VPFM) are true? (Choose two.) A. The position of elements in Pod dashboards can be customized. B. Pod dashboard display dial gauge graphical elements only. C. Pod dashboards are built using dashlets. D. Pod dashboards are available in fixed pre-configured templates. ,A
Avaya 7593x,2,Which COM feature is suitable for pushing filter QoS and port changes across the whole network? A. Security & QoS Manager B. Bulk Configuration Manager C. VLAN Manager D. Device Group Manager ,B
Avaya 7593x,3,Which protocol does IP Flow Manager (IPFM) use to collect traffic flow information from the network? A. NETFLOW B. FTP C. IPFIX D. HASHFLOW ,C
Avaya 7593x,4,Which three are components of the Pod Orchestration Suite (POS)? (Choose three.) A. IP Flow Manager B. Avaya Diagnostic Server C. Pod Visualization Performance and Fault Manager D. Element Management System ,AC
Avaya 75940x,1,A new ESXi host has been added to the ACP 4200. However unlike existing ESXi hosts within the ACP 4200 the new host cannot be monitored or detected by Avaya Orchestrator.What is causing this problem? A. The new host has not been correctly configured to support vMotion. B. The new host has not been added to Avaya Orchestrator. C. The new host has not been licensed yet. D. The new host has not been configured for Auto Detection. ,B
Avaya 75940x,2,Refer to the exhibit.The CPU performance of Communication Manager (CM) shows a significant difference depending on the call rates.Which statement about making configuration changes is true? A. Increasing the number of Virtual CPUs allocated to CM might help to reduce this difference. B. Ensuring that a secondary CM is available to allow for load-balancing might help to reduce this difference. C. Migrating the CM Virtual Machine to another ESXi host that is less busy might help to reduce this difference. D. Reducing this difference is not necessary because this is expected behavior. ,B
Avaya 75940x,3,With ACP 4200 what is mandatory to ensure Avaya Aura High Availability across the two Data Centers? A. A single vCenter Server that manages both Data Centers. B. Network connectivity to and in between the two Data Centers. C. Identical compute servers in both Data Centers. D. The same VLANs in both Data Centers. ,A
Avaya 75940x,4,Refer to the exhibit.In the deployment shown in the exhibit how is High Availability achieved across the two Data Centers? A. By ensuring that the L2 VLANs are extended across to both Data Centers. B. By managing both Data Centers using the same vCenter Server and using vMotion and DRS. C. By using Virtualization Provisioning Service (VPS) to automate the provisioning of the network hardware and vSwitches across the two Data Centers. D. By using Avaya Aura Application High Availability features. ,C
Avaya 7693x,1,"You notice that the VPFM discovery stops at the Base 500 devices after the installation of an incremental license of 2000 devices on top of the VPFM base license.Which action would you take first? A. Restart System Manager. B. Confirm "" default.lic' file exists. C. Restart the VPFM VM. D. Reinstall license. ",C
Avaya 7693x,2,Which process is used to determine the current version of software running on the Pod Fx CM installation? A. Browser and connect to vSphere B. SSH and swversion command C. Telnet and swversion command D. VNC and connect to MSC. ,A
Avaya 7693x,3,When performing a BIOS or Firmware upgrade on physical host servers why is it important to have vSphere access? A. The serve must be placed in maintenance mode during the upgrade. B. VMs must be shut down during the process. C. vSphere is needed to shut down the physical server. D. The VMs must be restarted during the upgrade process. ,D
Avaya 7693x,4,You are receiving High Availability warnings in the vSphere client.To resolve the issue what should you try first? A. Stop and restart VMs. B. Ensure Storage Array is reachable from VSP. C. In the cluster check cabling between server and storage array. D. Right-click each Host in the cluster and select Reconfigure for HA. ,B
Avaya 76940x,1,A support engineer is tasked with working on an ACP 4200 4.0 system.Which three pieces of equipment would the engineer expect to find in the rack that will differentiate the system from an earlier release of PodFx 3.X or CPOD 2.X? (Choose three.) A. Dell R601 Servers B. VSP 4824 C. HP Nimble Storage CS1000 D. HP Proliant DL360 G10 Servers E. VSP 7254 ,BC
Avaya 76940x,2,Which equipment is standard in a new ACP 4200 4.0? A. IP 7254 B. VSP 4850 C. IP 8284 D. VSP 7024 ,B
Avaya 76940x,3,Which benefit does the available G450 Gateway provide to the ACP 4200 solution? A. IP to H.323 translation B. SIP to IP transition C. IP to POTS transition D. SIP to SIP negotiation ,B
Avaya 76940x,4,A support engineer is assigned to provide maintenance services for an ACP 4200 4.0 system.Which type of organization could the engineer expect to be assigned to? A. Small Business services B. Service Providers C. Large Enterprises D. Large Enterprises &amp; Service Providers ,C
Avaya 77200x,1,An Avaya IP Office customer with digital telephones uses their outbound digital lines at a capacity of 95%.Which capacity increase should be considered when planning for future growth? A. The number of trunks B. The number of users C. The number of VCM channels D. The number of hunt groups ,B
Avaya 77200x,2,Which statement about the Manager Application for IP Office Server Edition is true? A. Manager includes Voicemail Pro Client B. Manager shows the status of all servers on one screen C. Manager has been fully ported to Web Management D. Manager runs on the server itself ,B
Avaya 77200x,3,When setting up Alarm Notifications on an Avaya IP Office solution which three destination criteria can be selected? (Choose three.) A. Syslog B. Trap C. Email D. Outcalling E. SysMon ,AB
Avaya 77200x,4,What is the maximum number of Combo cards supported on the IP500 V2 control unit? A. 4 B. 2 C. 1 D. 3 ,B
Avaya 7750x,1,With respect to IP Office Contact Center Release 9.1.6 and above which three parameters are not contained in the import excel spreadsheet and must be configured in the User Interface after the import? (Choose three.) A. Profiles B. Hold duration time for last agent functionality C. System holidays D. Topic block times E. Custom specific announcements ,BC
Avaya 7750x,2,You have completed the Avaya_IP_Office_Contact_Center_Configuration.xlsm workbook and are ready to launch the DataImport.exe file.Which two passwords are required to execute the DataImport.exe successfully? (Choose two.) A. WebLM administrator password B. IP Office Security User password C. IP Office Service User password D. IPOCC Administrator password E. IP Office System password ,D
Avaya 7750x,3,You have successfully deployed an IPOCC server in the customer's virtual environment and have configured the virtual machine to meet the OVA specifications in the Avaya IP Office Contact Center Reference Configuration document.Which two tasks do you need to complete before importing the customer intonation into IPOCC? (Choose two.) A. Change the IP Office Service User password B. Upgrade the VMWare Tools on the IPOCC Server to the latest release C. Configure the Network Settings on the IPOCC Server D. Change the IPOCC Server Hostname E. Install the vSphere Client on the IPOCC Server ,B
Avaya 7750x,4,View the Exhibit.Refer to the exhibit. The exhibit shows a screen shot of a tag that has been created in the tag list.What is the intended purpose of this tag? A. to reject any caller from Germany B. to pass the call to a German language auto attendant C. to identify calls with a German telephone number D. to pass the call too an agent with German speaking skills ,A
Avaya 7765x,1,What are three ways to assign eLearning courses/quizzes? (Choose three.) A. Interaction playback B. Learn>Library C. Management D. Coaching E. Evaluation  ,BC
Avaya 7765x,2,What are two options for agents/supervisors when they disagree with an evaluation score? (Choose two.) A. They can decline the evaluation. B. They can appeal the evaluation. C. They can escalate it with the superior. D. They can click on the disagree button in the evaluation view mode. ,B
Avaya 7765x,3,In Employee Manager which Bulk Action is not possible? A. Bulk Change the Supervisor Association B. Bulk Change of Privileges C. Bulk Change of Queue Association D. Bulk Change the Recording Configuration ,A
Avaya 7765x,4,When an Interaction is Flagged for QA where can the QA Analyst see this interaction? A. Plans B. Evaluate > My Assignments C. Adhoc Evaluations D. View Evaluations E. Distribution Pool ,B
Avaya 78200x,1,Which Application will enable users to access their own recordings from within Media Manager? A. Web Self Management B. Web Self Recordings C. Web Self Media Manager D. Web Self Administration ,D
Avaya 78200x,2,A customer's main number is routed to the destination VM: Main in the incoming call route menu.Where should you now look to see the routing of these calls? A. Voicemail Pro Modules B. Auto Attendant menu C. Hunt Groups D. Users ,A
Avaya 78200x,3,A customer wants users to duplicate all their Outlook contacts into the one-X Portal personnel directory.How would you recommend the users do this? A. Copy and paste all contacts from Outlook in their personal director. B. Import the Outlook contact using a .csv format. C. Integrate the IP Office with Outlook. D. Add each Outlook contact individually into the personal directory. ,B
Avaya 78200x,4,To allow a user access to the SSA tool for system monitoring and troubleshooting which rights group in the security setting must the user have enabled? A. System Status group B. Installation group C. Admin System D. Maint Admin ,A
Avaya 7893x,1,Which two applications does the Unified Communication Module (UCM) support without the addition of an external server? (Choose two.) A. Avaya Contact Recorder B. one-X Communicator C. one-X Portal D. Embeded Voicemail E. Voicemail Pro ,C
Avaya 7893x,2,When planning for a Small Community Network (SCN) which two are required? (Choose two.) A. PRI service B. Preferred Edition C. IP Routes D. VCMs E. H.248 ,C
Avaya 7893x,3,Which IP Office feature is required to initiate screen pops where the caller ID triggers a computer to open a record related to that number? A. IMA. B. TAPILink Lite C. UMS D. Outlook Plugin ,B
Avaya 7893x,4,By adding a 4-port expansion card to the IP Office 500 V2 how many expansion units can the IP Office support in total? A. 10 B. 8 C. 12 D. 14 ,C
Axis Communications Anve,1,Which device is useful when replacing an analog camera with an IP camera? A. Video encoder B. PoE splitter C. Network relay D. Ethernet over coax adapter ,A
Axis Communications Anve,2,What is this? A. A video balun B. An Ethernet over coax adapter C. An SFP module D. A PoE extender ,C
Axis Communications Anve,3,Two cameras are streaming 6 Mbit/s each. Approximately how much storage is required to record one hour of video from both streams? [] A. 2.6 GB. B. 5.4 GB. C. 11.4 GB. D. 24.2 GB. 1 ,D
Axis Communications Anve,4,What product name extension is recommended for this environment? A. -S B. -L C. -R D. -C. ,D
Axis Communications Ax0 100,1,Which of the following statements are true for H.264? (Choose two) A. The size of an l-frame depends on the preceding P-frame B. Increased motion in a scene means increased bit rate C. Group of Video (GOV) length is directly affected by the sizes of the I- and P-frames D. A P-frame references preceding and succeeding P-frames E. Longer GOV length means reduced bit rate ,B
Axis Communications Ax0 100,2,What is the main purpose of the Arctic Temperature Control functionality? A. To protect the camera electronics B. To protect the camera mechanics C. To protect the camera lens D. To protect the camera power ,B
Axis Communications Ax0 100,3,Which is true regarding the use of a smoked (tinted) dome instead of a clear dome? A. Decreases color fidelity B. Decreases field of view C. Disables infrared capabilities D. Reduces light sensitivity ,D
Axis Communications Ax0 100,4,A company is looking for a dome designed to withstand vibrations inherent to transportation. Which of the following cameras should be recommended? A. AXIS P3344-VE. B. AXIS M3014 C. AXIS M3114-R D. AXIS P1344 ,C
Bacb Bcaba,1,When presenting extinction as a possible treatment option to a client and his or her family it is MOST important for a behavior analyst to A. assure them that extinction is supported in the literature as an effective procedure. B. present it along with other interventions including reinforcement based alternatives. C. discuss the risks and benefits of using extinction and assure them that it is the best option. D. explain his or her experience using extinction with similar cases. ,B
Bacb Bcaba,2,A behavior analyst is asked to provide direct services requiring daily 1:1 interaction with a teen-aged client. The client does not speak but can communicate fluently using sign language. The behavior analyst knows some sign language but is not fluent. The BEST approach to this situation would be to A. explain his level of competence in sign language to the family before beginning service. B. hire a sign language interpreter to attend the sessions. C. attend a workshop in sign language prior to beginning service. D. refer the family to a behavior analyst fluent in sign language. ,D
Bacb Bcaba,3,Fara has identified two procedures that have an equal probability of being effective. In order to select the better procedure she should  A. choose the procedure that falls within the staff's level of competence. B. determine which procedure is most clinically popular based on the rate of use by professionals. C. select the procedure that best utilizes the existing funding stream. D. use a random number table to rule out bias. ,A
Bacb Bcaba,4,Which of the following would BEST contribute to a behavior analyst's professional development? A. attending a workshop that provides videotaped examples and practice activities for innovative interventions B. reading articles from a peer-reviewed applied behavior analysis journal that describe techniques that are applicable to her client population C. becoming a member of the Association for Behavior Analysis International which is a rich resource for behavior analysts D. contributing an article to the newsletter of the local Association for Behavior Analysis chapter ,B
Bacb Bcaba,5,Before recruitment of participants for a research study begins a behavior analyst needs to: A. obtain consent from participant(s) or legal guardian(s) if necessary. B. obtain institutional review board approval or equivalent (e.g. an ethics committee). C. inform participants of their ability to withdraw from the study. D. inform participants about ethical requirements and experimental procedures. ,B
Bacb Bcba,1,A behavior analyst is adhering to which underlying assumption of behavior analysis when she conducts several tests of her treatment before she writes it in a formal behavior program? A. Determinism B. Law of parsimony C. Empiricism D. None of the above ,C
Bacb Bcba,2,Providing a complete description of one's procedures in a behavior analytic study of classroom management techniques is adhering to which dimensions of behavior analysis? [] A. Conceptually systematic B. Applied C. Technological D. Analytic ,A
Bacb Bcba,3,Describing behavior program procedures in terms of the basic principles of behavior is adhering to which dimension of behavior analysis? [] A. Conceptually systematic B. Applied C. Technological D. Analytic ,A
Bacb Bcba,4,When asked why a certain behavior happened the behavior analyst states that the behavior `came out of nowhere.` If the behavior analyst meant what he said he is violating the assumption of __________________. [] A. Philosophical doubt B. Determinism C. Technological D. Being conceptually systematic ,A
Bcs Astqb,1,What types of testing are particularly important for mobile applications based on the user's expectations? A. Suitability and Accuracy B. Usability and Performance C. Portability and Usability D. Performance and Security ,B
Bcs Astqb,2,If an application resides on the mobile device and was written specifically for that device what type of application is it? A. Web-based B. Hybrid C. Native D. Device-specific ,C
Bcs Astqb,3,You are testing an application for a smart phone. You have determined that you only need to test one device from the target family of devices because the behavior of all devices in that family will be the same for this application.This is an example of what test design technique? A. Boundary value analysis B. Combinatorial C. Decision tables D. Equivalence Partitioning ,D
Bcs Astqb,4,If you are testing a mobile application that is not safety-critical which life cycle model is most likely to be used? A. V-model B. Waterfall C. Mobile D. Iterative ,D
Bcs Fcba,1,Given the cashflows below which of the following is correct? A. The project pays back in year 4 of the project. B. The project does not pay back within the four year period. C. The project pays back in year 2 of the project. D. The project pays back in year 3 of the project. ,B
Bcs Fcba,2,The required competencies of a business analyst are classified into three categories. Which of the following is one of these three categories? A. Management Qualities. B. Business Knowledge. C. IT Skills D. Project Skills. ,B
Bcs Fcba,3,When should benefits realisation be carried out? A. Immediately at the end of the project. B. At the beginning of the project. C. At the end of the finalised feasibility study. D. Months or years after the end of the project. ,D
Bcs Fcba,4,Which of the following statement is TRUE about the process view of an organisation? A. It focuses on the customer of the organisation. B. It focuses solely on the internal view of the organisation. C. It focuses on the functions of an organisation. D. It focuses on the organisational structure. ,A
Bcs Iseb Swt2,1,"Given the following state table:Which of the following represents an INVALID transition (N)? A. ""Off"" from Display Channel 1"" B. ""Channel 2"" from ""Display Channel 1"" C. ""Stby"" from ""Live"" D. ""Channel 2"" from ""Live"" ",A
Bcs Iseb Swt2,2,In which activity of the Fundamental Test Process is the test environment set up? A. Test implementation and execution. B. Test planning and control C. Test analysis and design D. Evaluating exit criteria and reporting ,A
Bcs Iseb Swt2,3,Given the following decision table:Which of the following test cases and expected results is VALID. A. 23 year old in insurance class A Premium is 90 and excess is 2 500. B. 51 year old in insurance class C Premium is 70 and excess is 500. C. 31 year old in insurance class B Premium is 70 and excess is 2 500. D. 43 year old in insurance class C Premium is 70 and excess is 1 000. ,A
Bcs Iseb Swt2,4,Which of the following are characteristic of test management tools? a) They support traceability of tests to source documents. b) They provide an interface to test execution tools. c) They help to enforce coding standards. d) They manipulate databases and files to set up test data. A. a and c B. b and c C. a and b D. b and d ,C
Bcs Prf,1,When considering risks which describes an opportunity in a project? A. An uncertain event that could have a negative impact on objectives B. An uncertain event that could have a favourable impact on objectives C. An event that has occurred resulting in a negative impact on objectives D. An event that has occurred resulting in a favourable impact on objectives ,B
Bcs Prf,2,Which of the following statements about lines of authority and reporting are true?1. The Project Manager has day-to-day control for a management stage within the limits laid 2. If a Team Manager forecasts a deviation beyond Work Package tolerances this should be referred to the Project Manager down by the Project Board. A. Only 1 is true B. Only 2 is true C. Both 1 and 2 are true D. Neither 1 or 2 are true ,C
Bcs Prf,3,Which may be funded from a risk budget? A. Corrections due to off-specifications B. Impact analysis of requests for change C. Implementation of a fallback plan D. Preparation of the Risk Management Strategy ,C
Bcs Prf,4,What is the first task of product-based planning? A. Produce the Initiation Stage Plan B. Write the Project Product Description C. Identify dependencies D. Create the product breakdown structure ,B
Bcs Prf,5,How many tasks does the product-based planning technique describe? [] A. One B. Two C. Three D. Four ,D
Bcs Re18,1,A business analyst is concerned that the project team may not have a consistent understanding of the requirements set as project team members have been working on their own individual tasks. He wants to ensure that the whole team is on track and is willing to take the time needed to achieve this. He does not want to involve business stakeholders nor embarrass any of the project team.To begin the process of improving team understanding he wants to hold a meeting to explain and present his understanding of the requirements to the team and to hear their thoughts and ideas about his work so far.Which of the following approaches to requirements validation will he be using? A. Formal review B. Peer review C. Structured walkthrough D. Technical review ,D
Bcs Re18,2,During his yearly appraisal a member of the sales team is given the following feedback:'Your approach to your sales target has been successful but you have not applied the approach widely enough. Your target for next year is to use your recent experience to double your sales- this will ensure your contribution is in line with the team's increased target'.After discussion this target is agreed on and is added to his written appraisal.The organization recognizes four facets of knowledge:A) Individual -B) Corporate -C) Explicit -D) Tacit -Which combination describes the appraisal target given above? A. A and C. B. A and D. C. B and C. D. B and D. ,D
Bcs Re18,3,A business analyst has collected the following legal requirement in support of a project seeking to improve the services provided by a children's charity:The system must record all the details of the children and young people we interact with.The project is in the early phases of requirements elicitation. At this stage the business analyst is trying to ensure that they have captured the broad requirements.Which style of requirements document is the business analyst constructing and what additional (essential) attribute will they need to record? A. Requirements catalogue; owner B. Requirements catalogue; requirement ID. C. Requirements list; business area D. Requirements list; source ,B
Bcs Re18,4,A business analyst is allocating elicited requirements to an appropriate category in a requirements catalogue. Here are five of the captured requirements:A) A sales person must be able to confirm a sales order.B) Only customers with a 'normal' status should be permitted to place orders.C) The order management system should hold the data for 'barred' customers for five years.D) A stock picker must be able to mark an order as 'picked'E) The order management team should be able to view sales orders by time range and status.Which of these requirements will be classified as functional requirements in the requirements catalogue? A. A B and C. B. A D and E. C. B C and D. D. C D and E. ,A
Bcs Tm12,1,Consider an information system of a Pay-Tv company based on a SOA architecture.The integrated system currently consists of three core systems: a CRM (Customer Relationship Management) system a BRM (Billing and Revenue Management) system a CAS (Conditional Access System) systemAll of them communicating with SOA Middleware.You have been asked to manage the testing activities for the integration of two additional off-the-shelf systems from two different vendors: a SMS (Short Message Service) server and an IVR (Interactive Voice Response) system.Assume that there is a high likelihood that the two off-the-shelf systems will be low-quality and that you have a clear proof that the testing performed by the two vendors on their systems has been unsystematic and unprofessional. This obviously leads to higher quality risk for the overall integrated system.You are the Test Manager of this project. Your main goal is to plan for testing activities to mitigate this risk.Which of the following answers best describes the test activities (assuming it is possible to perform all of them) you should plan for? A. You should plan for an informal and minimal acceptance test of the two off-the-shelf systems and then a single end-to-end test of the overall integrated system. B. You should directly plan for a single end-to-end test focused on end-to-end tests of the overall integrated system without an acceptance test of the two off-the-shelf systems. C. You should plan for two levels: a system integration test and an end-to-end test of the overall integrated system. D. You should plan for adequate re-testing of both the systems followed by a system integration test and an end-to-end test of the overall integrated system. ,D
Bcs Tm12,2,Assume you are the Test Manager for a new software release of an e-commerce application.The server farm consists of six servers providing different capabilities. Each capability is provided through a set of web services.The requirements specification document contains several SLAs (Service Level Agreements) like the following:SLA-001: 99.5 percent of all transactions shall have a response time less than five seconds under a load of up-to 5000 concurrent usersThe main objective is to assure that all the SLAs specified in the requirements specification document will be met before system release. You decide to apply a risk-based testing strategy and an early risk analysis confirms that performance is high risk. You can count on a well-written requirements specification and on a model of the system behavior under various load levels produced by the system architect.Which of the following test activities would you expect to be the less important ones to achieve the test objectives in this scenario? A. Perform unit performance testing for each single web service. B. Monitor the SLAs after the system has been released into the production environment. C. Perform system performance testing consisting of several performance testing sessions to verify if all the SLAs have been met. D. Perform static performance testing by reviewing the architectural model of the system under various load levels. ,B
Bcs Tm12,3,The following is the unique critical quality risk item that has been identified:CR-RSK-1. The GUI of the application might accept non-integer values for the input field designed to get the number of bottles from the user.Test analysis for system testing has just begun and the following test conditions have been identified:TC-SEL-2. Test the selection of the package sizesTC-SEL-4. Test wrong numbers of bottles for an orderTC-CR-RSK-1. Test the accepted values from the input field designed to get the number of bottles from the userWhat is the MINIMUM number of test conditions that must be added to fulfill both the EXCR1 and EXCR2 exit criteria? A. 4 B. 3 C. 2 D. 1 ,A
